"a","ه"
"â","آ"
"âb","آب"
"aba","ابا"
"abâ","عبا"
"âbâ'","آباء"
"ab'âb","عبعاب"
"abad","اباد"
"abadan","ابادان"
"âbâdân","آبادان"
"âbâdânî","آبادانی"
"âbâdânlık","آبادانلق"
"âbâdî","آبادی"
"abaka","آباقه"
"âbâl","آبال"
"abamak","آبامق"
"âbân","آبان"
"abandırmak","آبانديرمق"
"âbânî","آبانى"
"abanlamak","آبانلامق"
"abâpûş","عباپوش"
"âbâr","آبار"
"âbcâme","آبجامه"
"âbçîn","آبچين"
"abd","عبد"
"abdal","آبدال"
"abdallık","آبداللق"
"abdalsı","آبدالسى"
"âbdân","آبدان"
"abdar","ابدار"
"âbdâr","آبدار"
"âbdârlık","آبدارلق"
"âbdendân","آبدندان"
"âbdestân","آبدستان"
"abdesthâne","آبدستخانه"
"âbdestlik","آبدستلك"
"âbdestsiz","آبدستسز"
"abe","آبه‌"
"âbek","آبک"
"abes","عبث"
"âbgîne","آبگينه"
"âbgîr","آبگير"
"âbgôn","آبكون"
"âbgûn","آبگون"
"abher","عبهر"
"âbhîz","آبخيز"
"âbhord","آبخورد"
"âbıhayat","آب حيات"
"âbırû","آبرو"
"âbî","آبی"
"abîd","عبيد"
"âbid","عابد"
"âbide","آبده"
"âbidevî","آبدوی"
"abile","ابله"
"âbile","آبله"
"âbir","عابر"
"âbisten","آبستن"
"âbistengâh","آبستنگاه"
"âbişhor","آبشخور"
"âbkâr","آبکار"
"âbkeş","آبکش"
"abli","آبلى"
"abloka","آبلوقه"
"âbnôs","آبنوس"
"âbnûs","آبنوس"
"âbnûsiyye","آبنوسيه"
"abone","آبونه"
"abonelik","آبونه‌لك"
"âbrâh","آبراه"
"âbrîz","آبریز"
"âbrû","آبرو"
"abruy","ابروى"
"âbşâr","آبشار"
"abuk sabuk","آبوق‌صابوق"
"abur cubur","آبورجبور"
"abûs","عبوس"
"âbühava","آب و هوا"
"âbyârî","آبيارى"
"âbzih","آبزه"
"acâib","عجائب"
"âcâl","آجال"
"acâleten","عجالة"
"acar","اجار"
"aceb","عجب"
"acebâ","عجبا"
"acele","عجله"
"aceleten","عجلة"
"acem","عجم"
"acemaşîran","عجم عشيران"
"acemî","عجمی"
"acemistan","عجمستان"
"acemiyân","عجميان"
"acente","آجنته"
"aceze","عجزه"
"acı","آجى"
"acık","آجيق"
"acıkılmak","آجيقلمق"
"acıklı","آجيقلى"
"acıkmak","آجيقمق"
"acıktırmak","آجيقديرمق"
"acılanmak","آجيلانمق"
"acılık","آجيلق"
"acımak","آجيمق"
"acımtırak","آجيمتراق"
"acınacak","آجينه‌جق "
"acındırmak","آجينديرمق"
"acırak"," آجيراق"
"acırga","آجيرغه"
"acırganmak","آجيرغنمق"
"acıtmak","آجيتمق"
"acîb","عجيب"
"acîbe","عجيبه"
"acîn","عجين"
"âcir","آجر"
"âciz","عاجز"
"âcizâne","عاجزانه"
"âcizî","عاجزی"
"âciziyyet","عاجزیت"
"acûl","عجول"
"acûlâne","عجولانه"
"acur","آجور"
"acûz","عجوز"
"acûze","عجوزه"
"âcür","آجر"
"acyo","آجيو"
"acz","عجز"
"aç gözlü"," آج‌كوزلى"
"aç gözlülük","آج‌كوزليلك"
"açıcı","آچيجى"
"açık","آچيق"
"açıkağızlı","آچيق‌آغزلى"
"açıklamak","آچيقلامق"
"açıklık","آچيقلق"
"açılmak","آچلمق"
"açkı","آچقى"
"açkıcı","آچقيجى"
"açlık","آجلق"
"açma","آچمه"
"açmak","آچمق"
"açmalık","آچمه‌لق"
"açmaz","آچماز"
"açmazlık","آچمازلق"
"açtırmak","آچديرمق"
"ada","آدا"
"a'dâ","اعدا"
"âdâb","آداب"
"âdab u erkân","آداب و ارکان"
"a'dâd","اعداد"
"adak","آداق"
"adalât","عضلات"
"adale","عضله"
"adâlet","عدالت"
"adaletkâr","عدالتکار"
"adam","آدم"
"adamak","آدامق"
"adamcağız","آدمجغز"
"adamcasına","آدمجه‌سنه"
"adamcık","آدمجق"
"adamcıl","آدمجيل"
"adamcılayın","آدمجيلاين"
"adamsız","آدمسز"
"adamsızlık","آدمسزلق"
"adaş","آداش"
"adaşlık","آداشلق"
"âdât","عادات"
"adatmak","آداتمق"
"adâvet","عداوت"
"add","عد"
"aded","عدد"
"adeden","عددا"
"adedî","عددی"
"adem","عدم"
"âdem","آدم"
"ademâbâd","عدم آباد"
"âdemhâr","آدم خوار"
"âdemiyân","آدميان"
"âdemiyyet","آدميت"
"ades","عدس"
"adese","عدسه"
"âdet","عادت"
"âdeta","عادتا"
"âdeten","عدتا"
"adhâ","اضحی"
"adımlamak","آديملامق"
"âdi","عادی"
"adîd","عدید"
"adîde","عدیده"
"adîl","عدیل"
"âdil","عادل"
"âdilâne","عدلانه"
"âdilik","عادیلك"
"adîm","عدیم"
"adîmülimkân","عدیم الامکان"
"âdiye","عادیه"
"adl","عدل"
"adlâ'","اضلاع"
"adlamak","آدلامق"
"adlanmak","آدلانمق"
"adlı","آدلى"
"adlî","عدلی"
"adliyye","عدليه"
"adn","عدن"
"adsız","آدسز"
"adû","عدو"
"âfâk","آفاق"
"âfâkî","آفاقی"
"âfât","آفات"
"âferîde","آفریده"
"âferîdgâr","آفریدگار"
"âferînende","آفریننده"
"âferîniş","آفرینش"
"âfet","آفت"
"âfetengîz","آفت انگيز"
"âfetresân","آفت رسان"
"âfetzede","آفت زده"
"afîf","عفيف"
"âfil","آفل"
"âfitâb","آفتاب"
"âfitâbcemâl","آفتاب جمال"
"âfiyet","عافيت"
"afrika","افریقا"
"afsun","افسون"
"âftâb","آفتاب"
"âftâbe","آفتابه"
"âftâbgîr","آفتابگير"
"âftâbî","آفتابی"
"âftâbrû","آفتاب رو"
"afv","عفو"
"âgâh","آگاه"
"âgâhî","آگاهی"
"âgeh","آگه"
"âgehî","آگهی"
"âgîn","آگين"
"âgûş","آغوش"
"âğâliş","آغالش"
"âğâz","آغاز"
"ağbiyâ","اغبيا"
"âğişte","آغشته"
"ağlâl","اغلال"
"ağlât","اغلاط"
"ağleb","اغلب احتمال"
"ağnâ","اغنی"
"ağnâm","اغنام"
"ağniyâ","اغنيا"
"ağniye","اغنيه"
"ağrâs","اغراس"
"ağrâz","اغراض"
"ağsân","اغصان"
"ağşiye","اغشيه"
"ağyâr","اغيار"
"ah","اخ"
"âh","آه"
"ahad","احد"
"âhâd","آحاد"
"ahali","اهالی"
"ahar","آخار"
"aharlamak"," آخارلامق"
"ahavât","اخوات"
"ahbâb","احباب"
"ahbap","احباب"
"ahbâr","اخبار"
"ahcâr","احجار"
"ahd","عهد"
"ahdar","احضر"
"ahdâs","احداث"
"ahdeb","احدب"
"ahdnâme","عهدنامه"
"ahdüpeymân","عهد و پيمان"
"âhek","آهک"
"âhen","آهن"
"âhendil","آهن دل"
"âheng","آهنگ"
"âhengdâr","آهنگدار"
"âhenger","آهنگر"
"âhenggüzâr","آهنگ گذار"
"âhenîn","آهنين"
"âhenîndil","آهنين دل"
"âhenk","آهنك"
"âhenkdâr","آهنگ دار"
"âhenkeş","آهنکش"
"âhenrüba","آهن ربا"
"âhensâ(y)","آهن سای"
"âher","آخر"
"âherin","آخرين"
"âheste","آهسته"
"âhestegî","آهستگی"
"ahfâ","اخفا"
"ahfâd","احفاد"
"ahger","اخگر"
"ahır","آخور"
"ahırlamak","آخورلامق"
"ahibbâ","احبا"
"ahid","عهد"
"ahidşiken","عهدشکن"
"âhîhte","آهيخته"
"ahîr","آخر"
"âhir","آخر"
"âhirbîn","آخربين"
"âhire","آخره"
"ahîren","اخيرا"
"âhiret","آخرت"
"âhiretlik","آخرتلك"
"âhirin","آخرین"
"âhirkâr","آخرکار"
"âhirülemr","آخرالامر"
"âhiz","آخذ"
"ahize","آخذه"
"ahlâf","اخلاف"
"ahlâk","اخلاق"
"ahlâken","اخلاقا"
"ahlâkiyat","اخلاقيات"
"ahlâkiyûn","اخلاقيون"
"ahlâm","احلام"
"ahlat","آخلاط"
"ahlât","اخلاط"
"ahmak","احمق"
"ahmakâne","احمقانه"
"ahmakî","احمقی"
"ahmer","احمر"
"ahrâm","احرام"
"ahrâr","احرار"
"ahrârâne","احرارانه"
"ahrâs","احراس"
"ahret","آخرت"
"ahsâs","احساس"
"ahsen","احسن"
"ahşâ'","احشاء"
"ahşâb","اخشاب"
"ahşâm","احشام"
"ahtâb","احطاب"
"ahtapot","آختاپود"
"ahtâr","اخطار"
"âhte","آخته"
"ahter","اختر"
"ahterbîn","اختربين"
"ahterşinâs","اخترشناس"
"ahterşümâr","اخترشمار"
"âhû","آهو"
"âhûbere","آهوبره"
"âhûdil","آهودل"
"âhund","آخوند"
"âhûnigah","آهونگاه"
"âhur","آخر"
"âhuvân","آهوان"
"âhûvâne","آهوانه"
"âhüvâh","آه و واه"
"âhüvâveylâ","آه و واویلا"
"âhüzâr","آه و زار"
"ahvâl","احوال"
"ahvef","اخوف"
"ahvel","احول"
"ahyâ","احيا"
"ahyâl","اخيال"
"ahyânen","احيانا"
"ahyâr","اخيار"
"ahyât","اخياط"
"ahz","اخذ"
"ahzâb","احزاب"
"ahzân","احزان"
"ahzar","اخضر"
"ahzen","احزن"
"ahzüi'tâ","اخذ و عطا"
"ahzükabz","اخذ و قبض"
"aid","عداي"
"âid","عائد"
"âidât","عائدات"
"âide","عائده"
"â'ik","عائق"
"âika","عائقه"
"âile","عائله"
"ailevî","عائلوی"
"âjeng","آژنگ"
"âk","عاق"
"akab","عقب"
"akabât","عقبات"
"akabe","عقبه"
"akâid","عقائد"
"akâmet","عقامت"
"akar","عقار"
"akarât","عقرات"
"akbeh","اقبح"
"akd","عقد"
"akdâh","اقداح"
"akdâm","اقدام"
"akdem","اقدم"
"akdes","اقدس"
"akıbet","عاقبت"
"âkıbetbîn","عاقبت بين"
"âkıbetendîş","عاقبت اندیش"
"âkıbetülemr","عاقبت الامر"
"akıl","عقل"
"âkıl","عاقل"
"âkılâne","عاقل"
"âkıle","عاقله"
"âkır","عاقر"
"âkid","عاقد"
"akîde","عقيده"
"akîdefurûş","عقيده فروش"
"akîk","عقيق"
"âkil","آکل"
"akîm","عقيم"
"akis","عکس"
"akl","عقل"
"aklâm","اقلام"
"aklen","اقلا"
"aklıselim","عقل سليم"
"aklî","عقلی"
"akliyye","عقليه"
"akliyyûn","عقليون"
"akm","عقم"
"akmâr","اقمار"
"akmişe","اقمشه"
"akrabâ","اقرباء"
"akran","اقران"
"akrebek","عقربک"
"aks","عکس"
"aksâ","اقصی"
"aksâm","اقسام"
"akser","اقصر"
"aksî","عکسی"
"aksülamel","عکس العمل"
"akşam","آخشام"
"aktâb","اقطاب"
"aktâr","اقطار"
"akûr","عقور"
"akûrâne","عقورانه"
"akvâl","اقوال"
"akvâm","اقوام"
"akviyâ","اقویا"
"a'lâ","اعلی"
"alâeyyihâl","علی ای حال"
"a'lâf","آلاف"
"âlâf","آلاف"
